state_name,state_id,dec_2012,nov_2012,oct_2012,sept_2012,aug_2012,july_2012,june_2012,may_2012,apr_2012,mar_2012,feb_2012,jan_2012,dec_2011,nov_2011,oct_2011,sept_2011,aug_2011,july_2011,june_2011,may_2011,apr_2011,mar_2011,feb_2011,jan_2011
Nebraska,NE,3.7,3.7,3.8,3.9,4.0,4.0,3.9,3.8,4.0,4.0,4.1,4.0,4.0,4.1,4.2,4.2,4.2,4.1,4.2,4.1,4.1,4.2,4.3,4.3
New Hampshire,NH,5.7,5.6,5.7,5.7,5.7,5.4,5.1,4.9,5.0,5.2,5.2,5.0,5.0,5.2,5.3,5.4,5.3,5.2,4.9,4.8,4.8,4.9,5.4,5.6
New Jersey,NJ,9.6,9.7,9.7,9.8,9.9,9.8,9.6,9.2,9.0,9.0,9.0,9.0,9.0,9.1,9.1,9.2,9.4,9.5,9.5,9.4,9.4,9.3,9.2,9.1
New Mexico,NM,6.4,6.2,6.3,6.4,6.5,6.6,6.5,6.4,6.0,7.2,7.2,7.0,7.0,6.5,6.6,6.6,6.6,6.7,6.8,6.9,6.9,7.6,8.7,8.7
Nevada,NV,10.2,10.8,11.5,11.8,12.1,12.0,11.6,11.6,12.0,12.0,12.3,13.0,13.0,13.0,13.4,13.4,13.4,12.9,12.4,12.1,12.1,12.5,13.6,14.2
New York,NY,8.2,8.3,8.7,8.9,9.1,9.1,8.9,8.6,8.0,8.5,8.5,8.0,8.0,8.0,7.9,8.0,8.0,8.0,8.0,7.8,7.8,7.9,8.2,8.2
Ohio,OH,6.7,6.8,6.9,7.0,7.2,7.2,7.2,6.9,7.0,7.5,7.6,8.0,8.0,8.5,9.0,9.1,9.1,9.0,8.8,8.6,8.6,8.6,9.2,9.3
Oklahoma,OK,5.1,5.2,5.3,5.2,5.1,4.9,4.7,4.8,4.0,5.4,6.0,6.0,6.0,6.1,6.1,5.9,5.6,5.5,5.4,5.3,5.3,5.6,6.5,6.6
Oregon,OR,8.4,8.4,8.6,8.7,8.9,8.7,8.5,8.2,9.0,8.6,8.7,9.0,9.0,9.1,9.5,9.6,9.6,9.5,9.4,9.3,9.3,9.5,10.2,10.4
Pennsylvania,PA,7.9,7.8,8.1,8.2,8.1,7.9,7.6,7.3,7.0,7.5,7.6,8.0,8.0,7.9,8.1,8.3,8.2,7.8,7.6,7.4,7.4,7.5,8.0,8.3
Rhode Island,RI,10.2,10.4,10.4,10.5,10.7,10.8,10.9,10.4,11.0,11.1,11.0,11.0,11.0,10.5,10.4,10.5,10.6,10.8,10.8,10.9,10.9,10.9,11.2,11.3
South Carolina,SC,8.4,8.3,8.6,9.1,9.6,9.7,9.4,9.3,9.0,8.9,9.1,9.0,10.0,9.9,10.5,11.0,11.1,10.9,10.5,10.0,10.0,9.8,10.2,10.5
South Dakota,SD,4.4,4.4,4.4,4.4,4.5,4.4,4.3,4.0,4.0,4.3,4.3,4.0,4.0,4.3,4.5,4.6,4.7,4.7,4.7,4.8,4.8,4.9,4.8,4.7
Tennessee,TN,7.6,7.6,8.2,8.3,8.5,8.4,8.1,7.9,8.0,7.9,8.0,8.0,9.0,9.1,9.6,9.8,9.7,9.8,9.8,9.7,9.7,9.6,9.5,9.4
Texas,TX,6.1,6.2,6.6,6.8,7.1,7.1,7.0,6.9,7.0,7.0,7.1,7.0,8.0,8.1,8.4,8.5,8.5,8.4,8.2,8.0,8.0,8.0,8.2,8.3
Utah,UT,5.2,5.1,5.2,5.4,5.8,6.0,6.0,5.8,6.0,5.8,5.7,6.0,6.0,6.4,7.0,7.4,7.6,7.5,7.4,7.3,7.3,7.4,7.7,7.6
Virginia,VA,5.5,5.6,5.7,5.9,5.9,5.9,5.7,5.5,5.0,5.6,5.7,6.0,6.0,6.2,6.4,6.5,6.3,6.1,6.0,6.0,6.0,6.1,6.4,6.5
Vermont,VT,5.1,5.2,5.5,5.4,5.3,5.0,4.7,4.4,5.0,4.8,4.9,5.0,5.0,5.3,5.6,5.8,5.9,5.7,5.5,5.4,5.4,5.3,5.6,5.7
Washington,WA,7.6,7.7,8.2,8.5,8.6,8.5,8.3,8.4,8.0,8.3,8.3,8.0,9.0,8.7,9.0,9.1,9.3,9.3,9.3,9.1,9.1,9.2,9.1,9.2
Wisconsin,WI,6.6,6.6,6.9,7.3,7.5,7.3,7.0,6.8,7.0,6.8,6.9,7.0,7.0,7.3,7.7,7.8,7.9,7.8,7.6,7.4,7.4,7.3,7.4,7.4
West Virginia,WV,7.5,7.3,7.5,7.6,7.5,7.3,7.0,7.3,7.0,6.9,7.2,7.0,8.0,7.9,8.2,8.2,8.1,8.1,8.5,8.6,8.6,8.8,9.4,9.6
Wyoming,WY,4.9,5.1,5.2,5.4,5.7,5.6,5.4,5.0,6.0,5.3,5.4,6.0,6.0,5.8,5.7,5.8,5.8,5.8,5.9,6.0,6.0,6.0,6.2,6.3
US rate,,7.8,7.8,7.9,7.8,8.1,8.3,8.2,8.2,8.0,8.2,8.3,9.0,9.0,8.6,9.0,9.1,9.1,9.1,9.2,9.1,9.0,8.8,8.9,9.0
